Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Side_Angle	Front_Angle	Back_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle6	Top_Angle7	Top_Angle8	Top_Angle9	Average Wetted Height	Initial_guess_height	s_norm
2.88	9.00	0.000000	0.000000	-0.193658175062020  	-0.250157120275396  	30	30	16	16	16	16	0	25.9662972348061    	37.4307064038513    	0.000000000000000   	4.18879020478639    	0.0266700508924631  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	7.54671930785924    	29.7693888688598    	29.7940125249500    	29.9833610814772    	29.7711295184459    	0.872837730734312   	0.694311	3.12439988476312    
2.88	9.00	0.0160031	0.0500000	-0.193844794403070  	-0.247815775333239  	30	30	16	16	16	16	0	25.9946407235319    	37.4300159264002    	1.44381255053458e-006	4.18879020478639    	0.0279332749810917  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	7.58848887654636    	29.6415271526075    	29.5801028979979    	29.5806689604803    	29.5232079661514    	0.871490112785570   	0.678308	3.12439988476312    
2.88	9.00	0.0320061	0.100000	-0.193297924552530  	-0.241291418732244  	30	30	16	16	16	16	0	26.0227906087023    	37.4154077685705    	0.00368419135078406 	4.18879020478639    	0.0320690662565539  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	7.75083765968458    	30.0571462389536    	30.2354401307163    	30.1989210998789    	30.1583352748923    	0.860987861197404   	0.662305	3.12439988476312    
2.88	9.00	0.0480092	0.150000	-0.193195386700175  	-0.233566461311328  	30	30	16	16	16	16	0	26.0503407139856    	37.3976472604057    	0.000161216909387029	4.18879020478639    	0.0370762909827580  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	7.95138095395158    	30.1785320876925    	30.1671510767819    	30.2951519679121    	30.1441989348518    	0.848337187619229   	0.646302	3.12439988476312    
2.88	9.00	0.0640123	0.200000	-0.192587877534329  	-0.226968401543680  	30	30	16	16	16	16	0	26.0769514798385    	37.3821882591030    	0.0884540681768419  	4.18879020478642    	0.0411330524793370  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	8.10631770620270    	30.8504292906697    	30.6763195946550    	30.7900252671329    	30.9746565655618    	0.836908345627301   	0.630299	3.12439988476312    
2.88	9.00	0.0800154	0.250000	-0.192346081572304  	-0.222014167325624  	30	30	16	16	16	16	0	26.1026757758800    	37.3678986897082    	5.17017920052748e-005	4.18879020478639    	0.0444965068981295  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	8.24639981413026    	31.0441108541135    	31.0933270833553    	31.0312882236973    	30.9799627485886    	0.825320252782962   	0.614296	3.12439988476312    
2.88	9.00	0.0960184	0.300000	-0.193063700547637  	-0.217225846978095  	30	30	16	16	16	16	0	26.1271338927555    	37.3643509264361    	5.13357078755002e-007	4.18879020478639    	0.0473232189542469  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	8.35014932740913    	30.1595867999722    	30.1695873608387    	30.1884520734239    	30.1783949741871    	0.821857111508507   	0.598293	3.12439988476312    
2.88	9.00	0.112022	0.350000	-0.190911680953805  	-0.211039639266375  	30	30	16	16	16	16	0	26.1512551173785    	37.3490969211643    	4.79127527529405e-010	4.18879020478639    	0.0510619016686665  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	8.49071188260531    	36.5146873824578    	30.8525909509400    	30.8457756863630    	30.8804955549040    	0.809426598912875   	0.582290	3.12439988476312    
2.88	9.00	0.128025	0.400000	-0.192861510431514  	-0.207213705476469  	30	30	16	16	16	16	0	26.1739839582424    	37.3466067616748    	0.000000000000000   	4.18879020478639    	0.0536550976722371  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	8.59867560670060    	30.2887209968698    	30.2676664690220    	30.3347195788586    	30.3131182169328    	0.805985271937296   	0.566287	3.12439988476312    
2.88	9.00	0.144028	0.450000	-0.192057779303536  	-0.202205099196239  	30	30	16	16	16	16	0	26.1962884876393    	37.3337084851952    	3.23397152180106e-006	4.18879020478639    	0.0568616295746630  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	8.72597854252161    	31.1210217832977    	31.1270610963686    	31.1845407466803    	31.1843561620016    	0.794869784782272   	0.550283	3.12439988476312    
