Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle_Calc	Average Wetted Height	Initial_guess_height	s_norm
2.83	8.50	0.000000	0.000000	-0.120849437013486  	-0.153172057437688  	30	35	14	0	25.2264203412607    	32.7076039393867    	0.160827642061527   	4.18879020478639    	0.0879196602562144  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.2778048848353    	38.0117896882565    	0.677709703761731   	0.707784	3.00808006980444    
2.83	8.50	0.0166219	0.0500000	-0.120619646611747  	-0.147298043512372  	30	35	14	0	25.2427512572756    	32.7029517900678    	0.156605625615832   	4.18879020478639    	0.0907739929011856  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.3915985498953    	38.2271213446384    	0.653870505405051   	0.691162	3.00808006980444    
2.83	8.50	0.0332438	0.100000	-0.120488343745139  	-0.141666326299598  	30	35	14	0	25.2585008659227    	32.6985335859218    	0.156959981869101   	4.18879020478639    	0.0934985501637277  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.4997462834188    	38.3392400003708    	0.630115240014422   	0.674540	3.00808006980444    
2.83	8.50	0.0498657	0.150000	-0.120372417651444  	-0.136038099488602  	30	35	14	0	25.2736686449949    	32.6940726080888    	0.154951071433334   	4.18879020478639    	0.0962153248411196  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.6073629274129    	38.4349568149608    	0.606097781849548   	0.657918	3.00808006980444    
2.83	8.50	0.0664876	0.200000	-0.120744457186955  	-0.130055149250177  	30	35	14	0	25.2882361674772    	32.6897916920484    	0.174571274242662   	4.18879020478639    	0.0991408898371689  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.7248984688618    	38.0176225608993    	0.582084145289261   	0.641296	3.00808006980444    
2.83	8.50	0.0831095	0.250000	-0.120667433228690  	-0.124199865365992  	30	35	14	0	25.3022186144217    	32.6851548069564    	0.179273757460849   	4.18879020478639    	0.101965843733730   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.8368231274127    	38.0725218434070    	0.557368353774784   	0.624674	3.00808006980444    
2.83	8.50	0.0997314	0.300000	-0.120508844727088  	-0.118310959277347  	30	35	14	0	25.3155950941648    	32.6804598204967    	0.175645793894845   	4.18879020478639    	0.104801323412636   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.9489631080327    	38.2129252122077    	0.532283727805000   	0.608052	3.00808006980444    
2.83	8.50	0.116353	0.350000	-0.120129379142583  	-0.112254206525789  	30	35	14	0	25.3283605922826    	32.6755646718624    	0.146263156041612   	4.18879020478639    	0.107704808072055   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.0632868559975    	38.5814241321367    	0.506571201749538   	0.591430	3.00808006980444    
2.83	8.50	0.132975	0.400000	-0.120160523300244  	-0.106009090928801  	30	35	14	0	25.3404955241602    	32.6706800151402    	0.157494152497667   	4.18879020478639    	0.110718702876067   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.1828723632838    	38.5215051086246    	0.480489812890584   	0.574808	3.00808006980444    
2.83	8.50	0.149597	0.450000	-0.119925823181793  	-0.0998197579754167 	30	35	14	0	25.3519933964275    	32.6657821384926    	0.148368581434503   	4.18879020478639    	0.113686507404004   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.2998559894809    	38.7366814086632    	0.453951561278085   	0.558186	3.00808006980444    
2.83	8.50	0.166219	0.500000	-0.119788924202392  	-0.0934055664819875 	30	35	14	0	25.3628411280652    	32.6607956382182    	0.146712473576712   	4.18879020478639    	0.116768104526380   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.4216332265942    	38.8491312182609    	0.426757452874685   	0.541565	3.00808006980444    
2.83	8.50	0.182841	0.550000	-0.118860597472135  	-0.0870337810215719 	30	35	14	0	25.3730302958214    	32.6556315441438    	0.128398386430390   	4.18879020478639    	0.119780171744032   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.5385959061443    	39.7568866867278    	0.398623934273612   	0.524943	3.00808006980444    
2.83	8.50	0.199463	0.600000	-0.118142934885422  	-0.0806145008434699 	30	35	14	0	25.3825339838413    	32.6505498756105    	0.117476685112375   	4.18879020478639    	0.122825671449459   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.6573873251871    	40.4325611113429    	0.369920219514679   	0.508321	3.00808006980444    
2.83	8.50	0.216085	0.650000	-0.118415416927685  	-0.0738829933935201 	30	35	14	0	25.3913239631965    	32.6457917879686    	0.125917855420119   	4.18879020478639    	0.126074405029314   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.7865678527749    	40.1398201679494    	0.341096646705783   	0.491699	3.00808006980444    
2.83	8.50	0.232707	0.700000	-0.116978938398979  	-0.0669382140266381 	30	35	14	0	25.3994114227187    	32.6405063596125    	0.101571771494307   	4.18879020478639    	0.129360276193729   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.9144619228141    	41.4824736754826    	0.310036053543037   	0.475077	3.00808006980444    
