Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Side_Angle	Front_Angle	Back_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle6	Top_Angle7	Top_Angle8	Top_Angle9	Average Wetted Height	Initial_guess_height	s_norm
2.44	5.50	0.0221716	0.0500000	-0.0773310076218578 	-0.0711872928648409 	30	40	8	8	8	8	0	19.1604149588826    	24.4547438870325    	0.00713384356309187 	4.18879020478638    	0.225966338352670   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.1847106642538    	39.0845502261608    	39.0845394551264    	39.0845526775904    	39.0845158812080    	0.696649218575787   	0.797876	2.25513231705235    
2.44	5.50	0.0443433	0.100000	-0.0772342690310357 	-0.0670101498843749 	30	40	8	8	8	8	0	19.1737877102484    	24.4518753570791    	0.0928091303148989  	4.18879020478611    	0.228391893950909   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.2681212140434    	39.1978572650968    	39.1921366901490    	39.1904344159164    	39.1969489818893    	0.689854425604410   	0.775705	2.25513231705235    
2.44	5.50	0.0665149	0.150000	-0.0773633315867198 	-0.0622731927194766 	30	40	8	8	8	8	0	19.1865954889454    	24.4491967982716    	0.0835098075280828  	4.18879020478623    	0.230982027794464   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.3505932731639    	39.0283889178820    	39.0284966910806    	39.0287265890148    	39.0286957638604    	0.682976729457169   	0.753533	2.25513231705235    
2.44	5.50	0.0886866	0.200000	-0.0773125987540353 	-0.0577757460996360 	30	40	8	8	8	8	0	19.1988137067792    	24.4469366521115    	0.0928013397799397  	4.18879020478620    	0.233533942492066   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.4359650859202    	39.0676920327194    	39.1321154007098    	39.0796188058135    	39.0488463071151    	0.676852419397917   	0.731362	2.25513231705235    
2.44	5.50	0.110858	0.250000	-0.0773332137884713 	-0.0538137831375076 	30	40	8	8	8	8	0	19.2104413433293    	24.4445623548607    	0.0834508518484079  	4.18879020478579    	0.235909320796302   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.5208662673623    	39.0420688812896    	38.9476046237069    	38.9825385455353    	39.2236347039858    	0.670328538950837   	0.709190	2.25513231705235    
2.44	5.50	0.133030	0.300000	-0.0769796506809504 	-0.0502870551151743 	30	40	8	8	8	8	0	19.2214717854063    	24.4426666448714    	0.111018280968617   	4.18879020478628    	0.237841000748789   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.5826041592977    	39.2494831762809    	38.7770485546659    	41.0861645412210    	38.7222447052489    	0.664786532950807   	0.687018	2.25513231705235    
2.44	5.50	0.155202	0.350000	-0.0776519899249451 	-0.0471414587748789 	30	40	8	8	8	8	0	19.2319160198960    	24.4412932538134    	0.0610642819285359  	4.18879020478639    	0.239692618872752   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.6474605309195    	38.9625098369670    	38.6858715453694    	38.3270138897626    	38.6022629093807    	0.659882008008835   	0.664847	2.25513231705235    
2.44	5.50	0.177373	0.400000	-0.0783529174326524 	-0.0444262413844019 	30	40	8	8	8	8	0	19.2417710864999    	24.4399191963823    	0.0571823092311128  	4.18879020478631    	0.241308159273082   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.7047742023503    	38.0984971808496    	40.0190257150638    	35.9892734193182    	36.8009026620356    	0.655467748493894   	0.642675	2.25513231705235    
2.44	5.50	0.199545	0.450000	-0.0774537029866741 	-0.0403460980324715 	30	40	8	8	8	8	0	19.2509782533609    	24.4377088500808    	0.0287901828362701  	4.18879020478638    	0.243531935849238   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.7754418431406    	41.2973546321789    	38.0303114651356    	36.7498694211963    	39.2647047517547    	0.648768597557667   	0.620503	2.25513231705235    
2.44	5.50	0.221716	0.500000	-0.0801455423960730 	-0.0371880803434362 	30	40	8	8	8	8	0	19.2596009573246    	24.4361224511446    	0.0253882841562186  	4.18879020478633    	0.245404574845891   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.8416708014406    	31.8317180561689    	36.7146145207638    	36.4239146825923    	36.3057548630482    	0.643774642480063   	0.598332	2.25513231705235    
2.44	5.50	0.243888	0.550000	-0.0822584719611890 	-0.0355316869455051 	30	40	8	8	8	8	0	19.2676901802902    	24.4353840150736    	0.0477990315187912  	4.18879020478630    	0.246321091784186   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.8714239893303    	34.0085323177836    	31.8491874383297    	33.1103524998621    	30.2147911759741    	0.640918884759791   	0.576160	2.25513231705235    
2.44	5.50	0.266060	0.600000	-0.0833004761308185 	-0.0476996267715091 	30	40	8	8	8	8	0	19.2768586624813    	24.4439227316845    	0.0354202292132896  	4.18879020478636    	0.239130263059644   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.6182000072614    	30.1645959799057    	37.5743822124562    	23.6501939929520    	29.4339472884994    	0.670853700181018   	0.553988	2.25513231705235    
2.44	5.50	0.288231	0.650000	-0.0875074780477176 	-0.0429800267075886 	30	40	8	8	8	8	0	19.2835693502427    	24.4408321193130    	0.0207298619408442  	4.18879020478634    	0.241870576648730   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	18.7126660398327    	12.0339592974091    	13.7512443487339    	33.7476273045943    	19.0206944994778    	0.660791664164162   	0.531817	2.25513231705235    
