Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Side_Angle	Front_Angle	Back_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle6	Top_Angle7	Top_Angle8	Top_Angle9	Average Wetted Height	Initial_guess_height	s_norm
3.08	11.0	0.000000	0.000000	-0.199088670309813  	-0.235232406107005  	30	20	16	16	16	16	0	29.6368581705259    	41.2455899365178    	0.0946797243126568  	4.18879020478264    	0.00234626974381982 	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	5.40349350405640    	18.1059718167986    	17.8871571974472    	18.0534558336608    	25.0939050781476    	0.922435917069635   	0.649094	3.57001849096078    
3.08	11.0	0.0140055	0.0500000	-0.199772706253383  	-0.237808141331596  	30	20	16	16	16	16	0	29.6625788005300    	41.2708291975418    	0.0348110335191442  	4.18879020478629    	0.000644461855666327	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	5.33456685872351    	16.6022135456384    	18.1255850746003    	16.9661119086107    	17.5241543797985    	0.934367233127152   	0.635089	3.57001849096078    
3.08	11.0	0.0280111	0.100000	-0.199235147250909  	-0.224961439659542  	30	20	16	16	16	16	0	29.6918828908475    	41.2059776933268    	0.000739833896095387	4.18879020478639    	0.00963965428027585 	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	5.71610964950868    	19.8883747039901    	19.8307747524711    	20.1287073412325    	19.8165666806372    	0.899349180452311   	0.621083	3.57001849096078    
3.08	11.0	0.0420166	0.150000	-0.199597335697773  	-0.226105664047913  	30	20	16	16	16	16	0	29.7165131876070    	41.2145962669414    	0.0123150196867059  	4.18879020478639    	0.00872758114349106 	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	5.67387841339326    	18.3953702426097    	17.7418940866010    	18.2588200774862    	17.2951089657949    	0.905010682266496   	0.607078	3.57001849096078    
3.08	11.0	0.0560221	0.200000	-0.198951377746059  	-0.216226185565329  	30	20	16	16	16	16	0	29.7435826399671    	41.1752838474777    	1.06164313564400e-005	4.18879020478639    	0.0155349258111364  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	5.95925394697735    	20.4786346313615    	20.5364573341067    	21.0127665271821    	20.6428270489010    	0.881452977219903   	0.593072	3.57001849096078    
3.08	11.0	0.0700276	0.250000	-0.199202810561471  	-0.211652307249643  	30	20	16	16	16	16	0	29.7684697979358    	41.1587207431025    	0.000265400486869053	4.18879020478639    	0.0184419392817084  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	6.07324174144929    	19.0382010225223    	20.0053691600527    	19.6265145368089    	19.1935491754594    	0.869818047380858   	0.579067	3.57001849096078    
3.08	11.0	0.0840332	0.300000	-0.198813358838189  	-0.208138180290748  	30	20	16	16	16	16	0	29.7929487785530    	41.1338907229136    	0.000260057981760837	4.18879020478639    	0.0213276487166258  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	6.20933381857065    	20.4518796314327    	20.8017567651907    	21.0201997047701    	21.1171657412639    	0.853833729968554   	0.565061	3.57001849096078    
3.08	11.0	0.0980387	0.350000	-0.198310988440235  	-0.204461202884828  	30	20	16	16	16	16	0	29.8161401674463    	41.1217140297180    	0.0162061985179825  	4.18879020478639    	0.0238574190471510  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	6.31534986938150    	26.4772639469828    	19.7365208447085    	20.1710993441412    	19.8110254625982    	0.845051491462615   	0.551056	3.57001849096078    
3.08	11.0	0.112044	0.400000	-0.198850700032433  	-0.199572953634163  	30	20	16	16	16	16	0	29.8388791802060    	41.1060353811004    	1.04969230735703e-006	4.18879020478639    	0.0269669133085124  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	6.43745450992038    	20.6292301255279    	20.6629108254965    	20.1429211534065    	20.2539800545646    	0.833896896093384   	0.537050	3.57001849096078    
3.08	11.0	0.126050	0.450000	-0.197848760518370  	-0.195889819837723  	30	20	16	16	16	16	0	29.8611292411249    	41.0798365907726    	2.69443871558879e-005	4.18879020478639    	0.0296331946085988  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	6.55353787545905    	23.3779504753125    	22.5931266808366    	23.9923846237862    	22.5877800299285    	0.814471622598054   	0.523045	3.57001849096078    
3.08	11.0	0.140055	0.500000	-0.197639464116150  	-0.191847031459470  	30	20	16	16	16	16	0	29.8822160239022    	41.0641578984038    	0.00216049109519324 	4.18879020478639    	0.0322628382870614  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	6.65888298011992    	23.3093388999149    	23.5448274539254    	23.7034571571434    	23.6131464847186    	0.802135200893881   	0.509039	3.57001849096078    
3.08	11.0	0.154061	0.550000	-0.197666800996418  	-0.188569732849084  	30	20	16	16	16	16	0	29.9022272526383    	41.0559494398545    	0.000189076643329273	4.18879020478639    	0.0346322187626672  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	6.76198878212057    	23.2244470026813    	22.8986136241060    	23.5654698209272    	23.9018189807063    	0.795899514766573   	0.495033	3.57001849096078    
3.08	11.0	0.168066	0.600000	-0.197241950669555  	-0.185081406270061  	30	20	16	16	16	16	0	29.9217264296046    	41.0401178540095    	1.46924308664811e-006	4.18879020478639    	0.0370180159673015  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	6.86162040805643    	23.9825349231018    	24.7207120800779    	24.1564124783700    	24.0334453313079    	0.782591158546610   	0.481028	3.57001849096078    
3.08	11.0	0.182072	0.650000	-0.196567619973952  	-0.181674376082814  	30	20	16	16	16	16	0	29.9404954384336    	41.0235364517544    	0.000126480705140615	4.18879020478639    	0.0392971933624633  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	6.95515078279093    	25.3806318180414    	25.5542551712246    	25.5479899176738    	25.2159428968031    	0.767620805398219   	0.467022	3.57001849096078    
3.08	11.0	0.196077	0.700000	-0.196673828418912  	-0.178314734402331  	30	20	16	16	16	16	0	29.9579439331155    	41.0183790367116    	5.64652932962942e-005	4.18879020478639    	0.0416201261273659  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	7.05301901918811    	25.2871411425075    	24.8742370820432    	25.2532640609036    	25.2855175305160    	0.764292572478950   	0.453017	3.57001849096078    
