Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Side_Angle	Front_Angle	Back_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle6	Top_Angle7	Top_Angle8	Top_Angle9	Average Wetted Height	Initial_guess_height	s_norm
2.28	4.50	0.000000	0.000000	-0.179379618843912  	-0.193977912197052  	30	40	14	14	14	14	0	16.6130301418924    	26.5039556683087    	0.0101387555311343  	4.18879020478639    	0.194918843454524   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	19.0652596065555    	38.2235338834637    	38.2233309751568    	38.2235899429950    	38.2234645043291    	0.928861589121139   	0.878348	1.97628234831763    
2.28	4.50	0.0253000	0.0500000	-0.179027631048429  	-0.181422715135521  	30	40	14	14	14	14	0	16.6509341165191    	26.4980016396297    	0.0412344393419742  	4.18879020478639    	0.201094854957809   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	19.2535235191435    	38.4052824244400    	38.4052815728655    	38.4052902602085    	38.4052824057813    	0.922052664289143   	0.853048	1.97628234831763    
2.28	4.50	0.0506001	0.100000	-0.178906916912148  	-0.169313814977543  	30	40	14	14	14	14	0	16.6875351981557    	26.4933545424704    	0.000404541182856752	4.18879020478639    	0.207081891683984   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	19.4376959858049    	38.4278926595510    	38.4279043656548    	38.4278786872772    	38.4279111611587    	0.916174269611766   	0.827748	1.97628234831763    
2.28	4.50	0.0759001	0.150000	-0.178718473807256  	-0.157839125291234  	30	40	14	14	14	14	0	16.7228389821146    	26.4882053264349    	0.0407108988695537  	4.18879020478639    	0.212724009373257   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	19.6099554786834    	38.5041854530419    	38.5016292799209    	38.4948105526243    	38.5028583007668    	0.909496757172495   	0.802448	1.97628234831763    
2.28	4.50	0.101200	0.200000	-0.178469928594063  	-0.145960590500685  	30	40	14	14	14	14	0	16.7568237427927    	26.4831511274398    	0.0349430813274261  	4.18879020478639    	0.218529469308979   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	19.7857044886490    	38.6161698931774    	38.6116302157623    	38.6140237541453    	38.6117364178862    	0.903377825536736   	0.777148	1.97628234831763    
2.28	4.50	0.126500	0.250000	-0.178447493721816  	-0.133861515041770  	30	40	14	14	14	14	0	16.7894733982663    	26.4777627554469    	0.00123711757918471 	4.18879020478639    	0.224675059854291   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	19.9831912272319    	38.5661645621009    	38.5672158321935    	38.5669647200893    	38.5657836653114    	0.895959433011562   	0.751848	1.97628234831763    
2.28	4.50	0.151800	0.300000	-0.177942022439024  	-0.121013202231142  	30	40	14	14	14	14	0	16.8207715780093    	26.4714430840289    	1.84945625973125e-006	4.18879020478639    	0.230975754804600   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	20.1754211836486    	38.8495218474184    	38.8496574543487    	38.8496535440716    	38.8496989778448    	0.888095953730635   	0.726548	1.97628234831763    
2.28	4.50	0.177100	0.350000	-0.178055234375245  	-0.109910151548569  	30	40	14	14	14	14	0	16.8506522869135    	26.4659408809662    	0.158374030659172   	4.18879020478572    	0.236600891284416   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	20.3559462163006    	38.7155775719116    	38.7155775720697    	38.7155775720710    	38.7155775720751    	0.880397022534968   	0.701248	1.97628234831763    
2.28	4.50	0.202400	0.400000	-0.177789799138860  	-0.0968903696322048 	30	40	14	14	14	14	0	16.8791725962237    	26.4595888538771    	0.159970155339336   	4.18879020478617    	0.243132008699150   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	20.5627654057973    	38.8314242878750    	38.8314242877776    	38.8314242878239    	38.8314242879383    	0.872077226671918   	0.675947	1.97628234831763    
2.28	4.50	0.227700	0.450000	-0.177341479796747  	-0.0831693778675205 	30	40	14	14	14	14	0	16.9062652009974    	26.4522920790736    	0.111037892148278   	4.18879020478631    	0.250099187209629   	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	20.7876934738888    	39.0664515809214    	39.0664515809138    	39.0664515809221    	39.0664515809208    	0.862182390469673   	0.650647	1.97628234831763    
