Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle_Calc	Average Wetted Height	Initial_guess_height	s_norm
2.71	7.50	0.000000	0.000000	-0.130872158741757  	-0.210591157850026  	30	20	15	0	23.1383054404073    	31.4254537188298    	0.157721385092048   	4.18879020478639    	0.0783727987914739  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.6759123790986    	23.8482062825324    	0.820976906223317   	0.738259	2.76847070288796    
2.71	7.50	0.0180605	0.0500000	-0.130823294285084  	-0.202667812773634  	30	20	15	0	23.1631006570508    	31.4161567492441    	0.159044814901321   	4.18879020478639    	0.0820904083674104  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.8186914473272    	23.8926101304520    	0.795204473037775   	0.720198	2.76847070288796    
2.71	7.50	0.0361210	0.100000	-0.130779741307595  	-0.194603707397809  	30	20	15	0	23.1871050170418    	31.4067471586386    	0.162697266411638   	4.18879020478639    	0.0858777588805758  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	10.9643816776001    	23.9203549748787    	0.769122889189913   	0.702138	2.76847070288796    
2.71	7.50	0.0541815	0.150000	-0.130610493235804  	-0.185500912132528  	30	20	15	0	23.2103390523268    	31.3953881475077    	0.155295745620512   	4.18879020478639    	0.0901468768395804  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.1284238843394    	24.2779129733940    	0.741146720587172   	0.684077	2.76847070288796    
2.71	7.50	0.0722421	0.200000	-0.130470295657681  	-0.176206258930107  	30	20	15	0	23.2327552011055    	31.3843197196783    	0.152276008979418   	4.18879020478639    	0.0945038428461716  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.2958430329418    	24.5452093206238    	0.713021350139345   	0.666017	2.76847070288796    
2.71	7.50	0.0903026	0.250000	-0.130316665727297  	-0.167796992106145  	30	20	15	0	23.2543201656542    	31.3739381618819    	0.150024909326402   	4.18879020478639    	0.0984042636186970  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.4439700043260    	24.8493545215979    	0.685107304226808   	0.647956	2.76847070288796    
2.71	7.50	0.108363	0.300000	-0.130516498779636  	-0.160483735808706  	30	20	15	0	23.2749749657246    	31.3664181657548    	0.170448092718859   	4.18879020478639    	0.101821759469983   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.5749554032971    	24.2525500314586    	0.659471928553604   	0.629896	2.76847070288796    
2.71	7.50	0.126424	0.350000	-0.130394339374101  	-0.151636960203533  	30	20	15	0	23.2948388706952    	31.3557435128165    	0.160094631162750   	4.18879020478639    	0.105931536986021   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.7314774107250    	24.4792357176135    	0.630554775831976   	0.611835	2.76847070288796    
2.71	7.50	0.144484	0.400000	-0.130283509540669  	-0.142634063102336  	30	20	15	0	23.3138228603203    	31.3451013766331    	0.156737466020961   	4.18879020478639    	0.110106304934411   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	11.8902294261114    	24.6702218216850    	0.601177918203201   	0.593775	2.76847070288796    
2.71	7.50	0.162545	0.450000	-0.130152041626931  	-0.133382712150892  	30	20	15	0	23.3319146971464    	31.3342777352917    	0.147743826383482   	4.18879020478639    	0.114388151890774   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	12.0527859404789    	24.9069082329262    	0.571050438877009   	0.575714	2.76847070288796    
2.71	7.50	0.180605	0.500000	-0.129981190210165  	-0.124089724399425  	30	20	15	0	23.3490894789718    	31.3234785742784    	0.141938460897580   	4.18879020478639    	0.118675975745960   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	12.2150722014122    	25.2338253244388    	0.540306463406879   	0.557654	2.76847070288796    
2.71	7.50	0.198666	0.550000	-0.129833518301491  	-0.114257430235600  	30	20	15	0	23.3653333137184    	31.3123683957274    	0.140501755432146   	4.18879020478639    	0.123221183643944   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	12.3875932258745    	25.4907193531945    	0.508450634919320   	0.539593	2.76847070288796    
2.71	7.50	0.216726	0.600000	-0.129607163149482  	-0.104114255740881  	30	20	15	0	23.3806195403044    	31.3010410867488    	0.136073240755387   	4.18879020478639    	0.127897195745096   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	12.5646182544161    	25.9190731241402    	0.475414558657191   	0.521533	2.76847070288796    
2.71	7.50	0.234787	0.650000	-0.129438143721745  	-0.0939384890497467 	30	20	15	0	23.3949033334407    	31.2900501490450    	0.133047839679296   	4.18879020478639    	0.132586562693143   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	12.7421960683247    	26.2049111855389    	0.441757754765992   	0.503472	2.76847070288796    
2.71	7.50	0.252847	0.700000	-0.129078154687049  	-0.0829742607455251 	30	20	15	0	23.4081803539142    	31.2784356610251    	0.124477510931156   	4.18879020478639    	0.137624072330911   	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	12.9324095990275    	26.8829672025617    	0.405890180516211   	0.485412	2.76847070288796    
