Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Side_Angle	Front_Angle	Back_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle6	Top_Angle7	Top_Angle8	Top_Angle9	Average Wetted Height	Initial_guess_height	s_norm
2.83	8.50	0.000000	0.000000	-0.0907331206832377 	-0.149921530574897  	30	10	8	8	8	8	0	25.2859249448385    	30.6854527749178    	0.0427910345831109  	4.18879020478639    	0.101236284197020   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	10.7664224939915    	8.43993398689486    	8.36050220932184    	8.48326221938544    	8.48763476089357    	0.751087757096846   	0.707784	3.00808006980444    
2.83	8.50	0.0166219	0.0500000	-0.0904959591853466 	-0.151349992025948  	30	10	8	8	8	8	0	25.2985359191589    	30.6793752993579    	0.0159953921481987  	4.18879020478639    	0.100110010194263   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	10.7171119454137    	15.6316997259761    	10.0371230270268    	9.99694136062870    	9.95504082813737    	0.743553362282338   	0.691162	3.00808006980444    
2.83	8.50	0.0332438	0.100000	-0.0907245382099476 	-0.143743796281548  	30	10	8	8	8	8	0	25.3099502375515    	30.6733863363552    	0.0174199091780614  	4.18879020478639    	0.105396254406993   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	10.9276782121828    	8.07295023139262    	8.11599943304429    	8.02716612075146    	8.11315761275225    	0.738087193633815   	0.674540	3.00808006980444    
2.83	8.50	0.0498657	0.150000	-0.0907207563638216 	-0.141603003608705  	30	10	8	8	8	8	0	25.3213433654934    	30.6678877989048    	9.27181888287927e-005	4.18879020478639    	0.106820057146000   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	10.9822770394497    	8.05161827002937    	8.05088591873314    	8.05402015507174    	8.08277450438513    	0.732387049206217   	0.657918	3.00808006980444    
2.83	8.50	0.0664876	0.200000	-0.0907123032840592 	-0.138609838467053  	30	10	8	8	8	8	0	25.3321638678509    	30.6586819978460    	0.00168924974323454 	4.18879020478639    	0.108826488952059   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	11.0597849529608    	8.47576299371252    	8.47104807398608    	8.47122972788588    	8.47090691872404    	0.720898413874491   	0.641296	3.00808006980444    
2.83	8.50	0.0831095	0.250000	-0.0907046424586731 	-0.133354168468538  	30	10	8	8	8	8	0	25.3423911624697    	30.6481707593860    	0.00241067699595933 	4.18879020478639    	0.112564868303184   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	11.2117211207081    	8.20711556533759    	8.21803453646487    	8.22685781539934    	8.22356219604160    	0.708834504300453   	0.624674	3.00808006980444    
2.83	8.50	0.0997314	0.300000	-0.0906815554342520 	-0.130449837190295  	30	10	8	8	8	8	0	25.3523952959149    	30.6475034249089    	0.000356290947705529	4.18879020478639    	0.114388446416691   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	11.2779416963650    	6.83784514825169    	6.83496384365756    	6.83225367598493    	6.83259605065538    	0.710168772205556   	0.608052	3.00808006980444    
2.83	8.50	0.116353	0.350000	-0.0907050220322148 	-0.133318854016279  	30	10	8	8	8	8	0	25.3622965149072    	30.6434173552663    	0.00221787711805603 	4.18879020478639    	0.112538633246599   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	11.2089757303611    	8.17150945188257    	8.15670532936764    	8.15696608964242    	8.15544808677801    	0.703728522152558   	0.591430	3.00808006980444    
2.83	8.50	0.132975	0.400000	-0.0906353820777730 	-0.123464656671238  	30	10	8	8	8	8	0	25.3707139891256    	30.6335037239146    	0.0118397433371855  	4.18879020478637    	0.119381077313269   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	11.4818121868066    	6.07585789143192    	6.08820925665100    	6.06888419413593    	6.05425441484815    	0.691554431354306   	0.574808	3.00808006980444    
2.83	8.50	0.149597	0.450000	-0.0905790237151189 	-0.118470682615690  	30	10	8	8	8	8	0	25.3789796474984    	30.6224182877646    	0.00893960951412143 	4.18879020478635    	0.122580410383844   	15.7824834515107    	0.571826646796255   	19.8177159411745    	0.0169537097513318  	0.0662228905685228  	11.6004745297332    	5.33347034671144    	5.32107548431196    	5.31783632451106    	5.32280997450654    	0.678460164016765   	0.558186	3.00808006980444    
