Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Side_Angle	Front_Angle	Back_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle6	Top_Angle7	Top_Angle8	Top_Angle9	Average Wetted Height	Initial_guess_height	s_norm
2.51	6.00	0.000000	0.000000	-0.0948583807973328 	-0.0776655195081439 	30	30	6	6	6	6	0	20.2670426421371    	24.2249101888356    	0.0334986504772533  	4.18879020478639    	0.205686265320293   	15.7824834792173    	0.642269300275891   	19.8177160803370    	0.0194606598904246  	0.0722367525146937  	16.8097814489529    	27.3348620921176    	26.2722917746626    	26.7544884693798    	27.2187347678428    	0.673242810439060   	0.796143	2.38842809051751    
2.51	6.00	0.0209343	0.0500000	-0.0901615739471422 	-0.0720767132532455 	30	30	6	6	6	6	0	20.2768261332508    	24.2194977059089    	0.0369591376916855  	4.18879020478639    	0.209111390068488   	15.7824834665348    	0.608980190657858   	19.8177160166368    	0.0176265275971644  	0.0705965714818933  	16.9340708993325    	26.3042064387821    	26.9284517287644    	26.3733429328930    	26.6320542111068    	0.661401146991168   	0.775208	2.38842809051751    
2.51	6.00	0.0418685	0.100000	-0.0891669281902187 	-0.0747445102705948 	30	30	6	6	6	6	0	20.2867123928492    	24.2224414790845    	0.0201130492558695  	4.18879020478638    	0.207438428197238   	15.7824834854280    	0.606989229998270   	19.8177161115312    	0.0167885644761933  	0.0712984002813863  	16.8718754039204    	23.5928773094776    	35.1802050740474    	27.5298952771914    	22.7741391541531    	0.668764666250366   	0.754274	2.38842809051751    
2.51	6.00	0.0628028	0.150000	-0.0856478293947134 	-0.0677823987163979 	30	30	6	6	6	6	0	20.2955059604514    	24.2160792500376    	0.0210023755800005  	4.18879020478639    	0.211601800657488   	15.7824834710292    	0.574406160082312   	19.8177160392102    	0.0149592825967795  	0.0695487170013244  	17.0189902955038    	25.0443654737179    	26.0175103152763    	24.4787223439590    	26.6215142425635    	0.653985301985998   	0.733340	2.38842809051751    
2.51	6.00	0.0837371	0.200000	-0.0847668062207683 	-0.0667438710629673 	30	30	6	6	6	6	0	20.3042944339175    	24.2154883222134    	0.0853844755538252  	4.18879020478639    	0.212185550480044   	15.7824834749082    	0.557460970283527   	19.8177160586934    	0.0138271952073136  	0.0689047789033283  	17.0381387874067    	21.9775477385410    	23.0984380673449    	22.2841318550983    	21.0770464523931    	0.652829669377234   	0.712406	2.38842809051751    
2.51	6.00	0.104671	0.250000	-0.0830802252347638 	-0.0650561445823711 	30	30	6	6	6	6	0	20.3126288294433    	24.2139758441081    	0.0475217599346639  	4.18879020478636    	0.213202842939783   	15.7824834786458    	0.541291068820124   	19.8177160774670    	0.0126386844253099  	0.0687701942058307  	17.0744267958649    	18.0584364972455    	20.9175370449913    	20.3634322143911    	21.2814263992468    	0.651401730931180   	0.691471	2.38842809051751    
2.51	6.00	0.125606	0.300000	-0.101324734719309  	-0.0720522689741734 	30	30	6	6	6	6	0	20.3215342647111    	24.2192533122156    	0.0564837128742611  	4.18879020478638    	0.208900921953788   	15.7824834961645    	0.654213092968860   	19.8177161654570    	0.0122007815390816  	0.0677872377418498  	16.9176604005367    	22.6562054528524    	16.5763147758498    	15.0891236668232    	17.5040762394519    	0.673982376027393   	0.670537	2.38842809051751    
2.51	6.00	0.146540	0.350000	-0.0920137447451853 	-0.0652626691165201 	30	30	6	6	6	6	0	20.3284475379175    	24.2138398158281    	0.0235162436698378  	4.18879020478637    	0.212981158169446   	15.7824834906037    	0.588088125282840   	19.8177161375275    	0.0107129552473225  	0.0699876242651635  	17.0626707500752    	16.3941267096304    	18.8388043387959    	12.1261381480125    	11.4433126365441    	0.656542875220553   	0.649603	2.38842809051751    
2.51	6.00	0.167474	0.400000	-0.0961929210778495 	-0.0786299595165428 	30	30	6	6	6	6	0	20.3383948832794    	24.2256321367707    	0.0132864648518944  	4.18879020478638    	0.204871575859316   	15.7824835097387    	0.610662497801607   	19.8177162336366    	0.0109356304960355  	0.0755365510249787  	16.7715371470033    	9.72084296365040    	13.1988469260722    	15.3855111049959    	10.3158190847969    	0.682003479086188   	0.628669	2.38842809051751    
2.51	6.00	0.188408	0.450000	-0.106033190896134  	-0.0714513588236047 	30	30	6	6	6	6	0	20.3439178735035    	24.2181430617985    	0.0168177352668891  	4.18879020478639    	0.209171328532446   	15.7824835056491    	0.669400339632098   	19.8177162130955    	0.00936508876927476 	0.0712190417551340  	16.9236681020817    	5.96191152375957    	5.43603133039073    	12.7890913383652    	5.98638363260660    	0.670992795796573   	0.607734	2.38842809051751    
2.51	6.00	0.209343	0.500000	-0.106079406229443  	-0.0720992047488258 	30	30	6	6	6	6	0	20.3507484670729    	24.2179611388265    	0.0163810982951044  	4.18879020478635    	0.208759077244604   	15.7824835082507    	0.675185130282322   	19.8177162261628    	0.00851868294839908 	0.0706753839286371  	16.9081130803144    	5.02231055632204    	22.6148710527185    	4.70548064086492    	4.80011825636605    	0.672794010005599   	0.586800	2.38842809051751    
