Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle_Calc	Average Wetted Height	Initial_guess_height	s_norm
2.93	9.50	0.000000	0.000000	-0.119937257398413  	-0.193512083681923  	30	40	17	0	27.0795894273901    	36.3338261796426    	0.197268504957881   	4.18879020478639    	0.0537208198095018  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	8.30141432491829    	42.2662071934306    	0.695704235877506   	0.681815	3.23861896891335    
2.93	9.50	0.0154387	0.0500000	-0.119736930447227  	-0.187700658671763  	30	40	17	0	27.0984228844305    	36.3296420156102    	0.187219610006638   	4.18879020478639    	0.0566556573649550  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	8.42243424174651    	42.4413746886135    	0.673853581450734   	0.666376	3.23861896891335    
2.93	9.50	0.0308774	0.100000	-0.119667492409347  	-0.182168618275173  	30	40	17	0	27.1166543622390    	36.3256374818021    	0.187157868994831   	4.18879020478639    	0.0594294958552263  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	8.53604182808997    	42.4862638559850    	0.652051371648943   	0.650937	3.23861896891335    
2.93	9.50	0.0463160	0.150000	-0.119561317481863  	-0.176440533238329  	30	40	17	0	27.1342862767129    	36.3213810392799    	0.183473030912359   	4.18879020478639    	0.0623045713987918  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	8.65395162760033    	42.5668377332220    	0.629852602405069   	0.635498	3.23861896891335    
2.93	9.50	0.0617547	0.200000	-0.119432166173467  	-0.170583668830224  	30	40	17	0	27.1513081329026    	36.3168566203804    	0.177593956048477   	4.18879020478639    	0.0652397117195611  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	8.77417593229892    	42.6694795756213    	0.607209177056057   	0.620060	3.23861896891335    
2.93	9.50	0.0771934	0.250000	-0.119293907186680  	-0.164588079709744  	30	40	17	0	27.1677098108997    	36.3121404062099    	0.173219887150987   	4.18879020478639    	0.0682425142640310  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	8.89713588135982    	42.7801592005914    	0.584165140236586   	0.604621	3.23861896891335    
2.93	9.50	0.0926321	0.300000	-0.118980239506362  	-0.158149447778023  	30	40	17	0	27.1834905160617    	36.3068605729182    	0.160498028413151   	4.18879020478639    	0.0714712136736465  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	9.02955626107318    	43.0607626781330    	0.560236697254663   	0.589182	3.23861896891335    
2.93	9.50	0.108071	0.350000	-0.119328861064896  	-0.152064412645617  	30	40	17	0	27.1986022595730    	36.3021987341579    	0.190369699388330   	4.18879020478639    	0.0745305906847867  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	9.15540431410805    	42.6902849076025    	0.536794205552123   	0.573744	3.23861896891335    
2.93	9.50	0.123509	0.400000	-0.119159145782880  	-0.145767247006928  	30	40	17	0	27.2130754080795    	36.2969882672769    	0.184013763775498   	4.18879020478639    	0.0776707464385965  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	9.28356420927487    	42.8307608771452    	0.512406139212384   	0.558305	3.23861896891335    
2.93	9.50	0.138948	0.450000	-0.119070250044023  	-0.139346322505146  	30	40	17	0	27.2268795457757    	36.2916271855195    	0.181727909066470   	4.18879020478639    	0.0808725872923193  	17.7543410066122    	0.836615148716500   	25.0835823223204    	0.0556931889172984  	0.000000000000000   	9.41428876077757    	42.8904605088310    	0.487488880557091   	0.542866	3.23861896891335    
