Contact_Radius	Contact_Radius_norm	Height	Height_norm	Force_Eng	Force_Calc	Bottom_Angle	Top_Angle	Side_Angle	Front_Angle	Back_Angle	Cone_Angle	Tilt_Angle	Energy	Area	Scale	Volume	Pressure	Bottom_Length	Top_Length	Bottom_Area	Top_Area	Mean_curvature	Bottom_Angle_Calc	Top_Angle6	Top_Angle7	Top_Angle8	Top_Angle9	Average Wetted Height	Initial_guess_height	s_norm
2.83	8.50	0.000000	0.000000	-0.180195184843182  	-0.218849548891582  	30	40	15	15	15	15	0	25.1181883197362    	35.5824136419482    	0.000000000000000   	4.18879020478639    	0.0560981176552290  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	9.04283731584849    	40.0681910520686    	40.0679314152915    	40.0677736339880    	40.0657310470743    	0.777668469313622   	0.707784	3.00808006980444    
2.83	8.50	0.0166219	0.0500000	-0.179923108679741  	-0.213297719839975  	30	40	15	15	15	15	0	25.1413532152447    	35.5750299754147    	0.000525898064245515	4.18879020478639    	0.0595200952243428  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	9.17421203618056    	40.2137227898875    	40.2107345936324    	40.2336411026736    	40.2099798303834    	0.769440115717936   	0.691162	3.00808006980444    
2.83	8.50	0.0332438	0.100000	-0.179690510356058  	-0.206371056173926  	30	40	15	15	15	15	0	25.1638213213022    	35.5692956724708    	0.00310296093727146 	4.18879020478639    	0.0637966700729567  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	9.33872698348903    	40.3270175152671    	40.3318633412319    	40.3294511871714    	40.3354706129094    	0.762672503099254   	0.674540	3.00808006980444    
2.83	8.50	0.0498657	0.150000	-0.179363802408745  	-0.201001943301105  	30	40	15	15	15	15	0	25.1855560364399    	35.5631594189763    	0.000000000000000   	4.18879020478639    	0.0670661856900926  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	9.46289836587389    	40.5161898116333    	40.5166823039752    	40.5180668251916    	40.5170539253131    	0.755261921338752   	0.657918	3.00808006980444    
2.83	8.50	0.0664876	0.200000	-0.178999741048079  	-0.196997613252179  	30	40	15	15	15	15	0	25.2065439938204    	35.5570917396810    	7.77335283936610e-005	4.18879020478639    	0.0695127869147699  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	9.55614797187881    	40.7333153292110    	40.7366249745399    	40.7349153552884    	40.7330203506736    	0.747674999832894   	0.641296	3.00808006980444    
2.83	8.50	0.0831095	0.250000	-0.179058501841048  	-0.192622741353206  	30	40	15	15	15	15	0	25.2267607001308    	35.5537039438709    	4.69891382449735e-008	4.18879020478639    	0.0722255137291369  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	9.66103481314486    	40.6979241971069    	40.6591305392413    	40.6597677242810    	40.6600817619507    	0.742488229817637   	0.624674	3.00808006980444    
2.83	8.50	0.0997314	0.300000	-0.178747407194707  	-0.188750082806252  	30	40	15	15	15	15	0	25.2462759633167    	35.5485680396130    	1.06432860149857e-012	4.18879020478639    	0.0745586909740377  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	9.74879726229232    	40.8498949464094    	40.8464663454279    	40.8676487180903    	40.8431890190821    	0.735544739054057   	0.608052	3.00808006980444    
2.83	8.50	0.116353	0.350000	-0.178205968193309  	-0.185115042597011  	30	40	15	15	15	15	0	25.2650511620169    	35.5433544466511    	0.0300338120057040  	4.18879020478639    	0.0767833810413406  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	9.83379708573550    	41.1811064227338    	41.1726385096908    	41.2019095481311    	41.1814759777162    	0.728175720797295   	0.591430	3.00808006980444    
2.83	8.50	0.132975	0.400000	-0.178102663238732  	-0.180510315151494  	30	40	15	15	15	15	0	25.2830374111781    	35.5393899481893    	0.000000000000000   	4.18879020478639    	0.0795389537579032  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	9.93680646786724    	41.2201068340447    	41.2286771986252    	41.2240888211707    	41.2272340007287    	0.722298249306059   	0.574808	3.00808006980444    
2.83	8.50	0.149597	0.450000	-0.178467880002381  	-0.176090961793210  	30	40	15	15	15	15	0	25.3002728288098    	35.5356771444978    	7.98585484872021e-005	4.18879020478639    	0.0823191511254208  	16.2165815902284    	1.25565754794940    	20.9228834519609    	0.0924697319472537  	0.0709740873714312  	10.0458762293253    	40.9558786899853    	40.9646277888122    	40.9554864577465    	40.9651498277896    	0.716532322305739   	0.558186	3.00808006980444    
